model,accuracy,precision,recall,f1,fit_s,pred_ms
LightGBM,0.9988691386340469,0.9988707834489464,0.9988691386340469,0.9988691377346544,1516.900940656662,2.9829611778259277
LinearSVM,0.9604517074413863,0.9605708776918871,0.9604517074413863,0.9604491384808403,364.01335048675537,0.4931397438049317
LogReg,0.9581422018348624,0.9583806311057376,0.9581422018348624,0.9581367420857627,421.4020552635193,0.4281003475189209
Dummy,0.49998407237512743,0.24998407262881667,0.49998407237512743,0.33331563612269977,194.06534671783447,0.5395188331604004
